"column","entity","text"
"program_name","Senior Services","This program provides for oversight of nutrition, social services, and special programs for older adults funded through federal and state grants and designated local sales tax revenues."
"program_name","Family Caregiver Services","This program provides for direct provision of health, social, and supportive services to adults caring for seniors or to seniors caring for grandchildren and other family members."
"program_name","Older Workers Program","This program provides for direct provision of job training and placement services to assist low-income individuals 55 years or older to obtain unsubsidized employment."
"program_name","Animal Control and Law Enforcement","This program provides 24-hour coverage by Animal Control Officers to address animal cruelty and issues causing danger to people and animals; enforces all laws related to the health, care, licensing, treatment, and impoundment of animals; and investigates nuisances created by animals. Program staff also rescues wildlife and other animals; provides emergency-related animal care and control; impounds vicious or dangerous animals; inspects and issues permits for animal establishments; collects fees and revenue; manages the Administrative Citation Enforcement (ACE) program, and issues ACE citations."
"program_name","Shelter Operations and Animal Care","This program provides staff to impound animals received at animal shelters; manages shelter facilities; provides safe and secure housing, food, and humane care for impounded animals; quarantines sick or dangerous animals and animals held as evidence; assists in providing medical care, adoption and live-release of animals; and receives fees for services as established by the Los Angeles Municipal Code and State law. "
"program_name","License Processing","As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to Animal Control and Law Enforcement."
"program_name","Animal Medical Services","This program provides veterinary care for all impounded animals, including vaccinations and critical medical treatment for injured or sick animals; maintains medical records for each animal processed through the City's shelters; provides or facilitates sterilization of shelter animals through in-house staff or contracted on-site and off-site clinics and veterinarians; examines and processes animals in support of animal cruelty cases; testifies in court regarding animal medical conditions; and euthanizes animals to relieve irremediable suffering of animals."
"program_name","Community Engagement and Partnerships","This program was formerly titled, ""Public Counters and Community Services"". This program provides support to all shelter, field and medical operations; staffs public counters; assists customers in owner surrenders, redemptions, and adoptions; records adoption transactions; maintains the animal database; completes financial transactions; receives, records and deposits money; answers calls from the public; and responds to information requests from animal owners, the public and other City employees."
"program_name","Technology Support","As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to General Administration and Support."
"program_name","General Administration and Support","This program provides the overall management and general administrative support necessary to effectively operate the Department including communications with the public, executive oversight, financial management, accounting, payroll, budgeting, purchasing, contracting and other services.  This program also provides communication with community members and information technology and telephone support for all seven Department locations and supports public access to the Department through its website, including maintaining online licensing functions and publishing performance data."
"program_name","Residential Engineering Plan Checking",""
"program_name","New Commercial Construction Inspection",""
"program_name","Conservation of Existing Structures and Mechanical Devices",""
"program_name","Structural Plan Checking","This program includes accepting and reviewing plans and issuing structural permits for construction projects which include new buildings, additions, remodels or repair of single-family dwellings, duplexes, apartments, industrial, commercial, and office buildings, and engineering plan checking for structural and permit issuing."
"program_name","Green Buildings and Electrical and Mechanical Engineering","This program consists of the Green Building, Electrical and Mechanical Plan Check, and Test Lab Sections and is responsible for accepting and reviewing plans for compliance with Green, Electrical, and Mechanical codes; issuing electrical and mechanical permits for new construction, additions, remodels, or repair of single-family dwellings, duplexes, apartments, industrial, commercial, and office buildings; reviewing, testing, and approving electrical and mechanical (e.g., heating, air conditioning, ventilation, and plumbing) products or materials; and reviewing and approving alternate methods of construction."
"program_name","Grading Reports and Inspection","This program provides plan check and inspection services for slope repairs, landslide repairs or removal, tract grading, mass grading, site preparation, removal and recompaction for building pads, basement excavations for new buildings in hillside areas, pool excavations for new pools in hillside areas, retaining walls cuts, back-cuts and backfill, and fault studies."
"program_name","Residential Inspection","This program provides residential inspection services for one- and two-family dwellings, including new structures, additions, alterations, swimming pools, retaining walls, various accessory structures, and demolition of existing structures."
"program_name","Commercial Inspection and Licensing","This program is responsible for the inspection of all construction or work for which a permit is required relating to all commercial and multi-residential buildings for compliance with the building, plumbing, electrical, mechanical, disabled access, heating, ventilation, and air conditioning (HVAC), elevator and pressure vessel, fire life safety and zoning codes to ensure all commercial and multi-residential buildings in Los Angeles are built safe, strengthening the City's resilience against natural disasters, and providing peace of mind to our residents. Additional program responsibilities include the inspection of new or altered on-site and off-site signs and inspection of facilities used at temporary events."
"program_name","Development Services Case Management","This program helps customers navigate through the City's development process to ensure an efficient, transparent, predictable process, resulting in high-quality development that addresses community needs and improves the quality of life in Los Angeles."
"program_name","Residential and Commercial Code Enforcement","This program is responsible for the enforcement of various codes as they relate to illegal construction, illegal signs, zoning violations, and nuisance properties."
"program_name","Conservation of Existing Structures and Mechanical Devices","This program is responsible for preserving and enhancing the safety, appearance and economic stability of the community through the diligent enforcement of applicable ordinances, systematic and periodic inspections, and land-use regulations to enforce environmental laws pertaining to landfill operations, auto repair facilities, recycling facilities, and Zoning and Building codes including offsite signs."
"program_name","Development Services Systems","This program serves as the central point for the development, implementation and maintenance of the BuildLA Project.  BuildLA is a series of interconnected systems that will collectively deliver development services citywide through a single Development Services online portal."
"program_name","Technology Support","This program provides support to operating programs through the continuing review and modification of existing code provisions, development and support of automated systems, and technical training."
"program_name","General Administration and Support","This program is responsible for financial control, budget, contracts, grants, facility maintenance, training, communication services, and general administration."
"program_name","Budget Formulation and Control","This program provides for assistance to the Mayor and Council in the preparation and administration of the annual budget and develops recommendations for the Mayor and Council on fiscal, legislative, grants, and other City matters."
"program_name","Management Services","This program provides for administrative studies, management surveys, and systems analyses of operating departments and bureaus, and of governmental organization and operations. Included in this program is the Innovation and Performance Commission support and the Office of the Inspector General for Revenue Collection."
"program_name","Employee Relations Compensation and Benefits","This program supports and oversees all activities associated with carrying out the City's employee relations management responsibilities as directed by the Executive Employee Relations Committee and in conformance with the California Meyers-Milias-Brown Act and the City's Employee Relations Ordinance."
"program_name","Risk Management","As mandated by the Los Angeles Administrative Code, the CAO provides risk management services and assistance, including studies, reports, analyses, assessments, and recommendations with respect to risks and potential liabilities presented by the operation, practices, and conditions existing in City departments, including but not limited to administering funds to provide for losses, placement of insurance contracts, insurance and bonds compliance, and assisting in the management of claims/litigation presented against the City. Risk Management identifies and analyzes the City's loss exposure and develops risk control techniques to protect the City to the maximum extent feasible against loss or liability."
"program_name","Debt Management","This program structures debt issuances and oversees the ongoing management of all the General Fund and certain special fund debt programs. These include General Obligation Bonds, lease purchase obligations, revenue obligations, Judgment Obligation Bonds, special tax obligations, and Mello-Roos and special assessment obligations. Other programs are added from time to time as new debt instruments are developed.  Careful monitoring of such issuances is required to preserve the City's credit strength, budget flexibility, and to comply with bond covenants and federal requirements."
"program_name","Asset Management and Capital Projects","The Asset Management and Capital Projects Program works to maximize the use and efficiency of City-owned real estate by engaging in master planning, managing and providing oversight of real-estate related transactions, and identifying development opportunities for increased economic and community benefits through real estate development."
"program_name","Proprietary Analysis","This program provides for research, analysis of, and recommendations on the activities and operations of proprietary departments and for regulation of municipal controls over petroleum exploration and production on City property."
"program_name","General Administration and Support","This program provides for administrative, clerical, and systems support to operational programs, and reporting to the Mayor and Council on City matters."
"program_name","Public Accountability and Ratepayer Advocate","This program provides public independent analysis of Department of Water and Power (DWP) actions as they relate to water and electricity rates and operations, as authorized by the Charter, which includes, and is not limited to, the following efforts: 1) review and analysis of proposed utility rate proposals and periodic adjustments; 2) evaluation of and advice on DWP long-term strategic plans, operations, budget, finances, and performance; 3) review of major plans, programs, projects, policies, contracts, costs, and utility rates; and, 4) analysis of customer data to evaluate of customer service performance at DWP. This Charter-mandated activity was previously budgeted within the Office of the City Administrative Officer for administrative purposes only. As of July 1, 2017 this Office became an independent department."
"program_name","Criminal and Special Litigation","This program includes three divisions, Criminal Branch Operations, Safe Neighborhoods and Anti-Gangs, and Special Operations and Litigation, as well as the Community Justice Initiative. Through this Branch, the City Attorney's Office prosecutes misdemeanor offenses, including gang crimes, family violence, consumer fraud, and code enforcement; proactively addresses quality of life and safety issues in neighborhoods, including through the Neighborhood Prosecutor Program; comprehensively tackles gang crime in partnership with the Los Angeles Police Department through prevention, intervention, and suppression; and, in collaboration with regulatory and/or other prosecutorial agencies, addresses environmental protection and justice issues.   A recent emphasis on restorative justice aims to work with non-violent offenders to prevent future involvement with the criminal justice system, including through the Neighborhood Justice Program."
"program_name","Civil Liability Management","This program includes seven divisions focused on litigation, Business and Complex, Employment, Police Liability, General Liability, Civil Appeals and Workers' Compensation, plus the Risk Management Unit, and oversight of the Affirmative Litigation Division. Through this Branch, the City Attorney's Office defends the City in civil lawsuits including general tort liability, police misconduct, employment matters, and complex business matters. This Branch also represents the City in Workers' Compensation actions. The Affirmative Litigation Division brings civil enforcement and other affirmative litigation to address unfair business practices and nuisances to protect the City and its residents. The Risk Management Unit identifies and analyzes trends in litigation and develops recommendations to reduce future incidents."
"program_name","Municipal Law","This program includes seven divisions: Labor Relations, Real Property and Environmental, Economic Development, Land Use, General Counsel, Public Safety, and Retirement Benefits. Through this Branch, the City Attorney's Office provides legal advice, assistance and representation to the municipality of the City and its elected officials, officers, entities, general managers, and staff. This Branch prepares various legal documents, appears before governmental, regulatory, and administrative bodies, provides legal services to the pension systems and the Housing Authority, advises on employee relations matters, and defends the City in land use matters."
"program_name","Proprietary and Outside Counsel","This program includes three divisions: Los Angeles World Airports, Department of Water and Power, and Port of Los Angeles.  Through this Branch, the City Attorney's Office provides legal advice and representation to the proprietary departments and their governing bodies, their respective general managers, and their staff on all legal matters including general, transactional, and litigation advice. This includes preparing various legal documents, appearing before governmental, regulatory, and administrative bodies, handling liability claims and defense of litigation and appeals, advising on employee relations, and representing the City in special litigation matters."
"program_name","General Administration and Support","This program includes executive and administrative management for the Office of the City Attorney. Functions include determining office policies and procedures; overall supervision of all personnel, including those assigned to the proprietary departments; and performance of various administrative functions, including budget, finance, human resources, and oversight of the contracts and funding associated with outside legal counsel for all City departments, including proprietaries."
"program_name","Regulations and Licensing","This program develops rules and regulations to implement local and State law pertaining to cannabis use, administers the application, licensing, renewal, and revocation processes for cannabis businesses, and coordinates with other city departments to ensure timely completion of inspections, audits, and associated functions."
"program_name","Council and Public Services","This program provides legislative support services to the Mayor, City Council, and its committees. Staff prepare agendas for and attend all Council and Committee meetings, and prepare final Committee reports with legislative recommendations for full Council consideration. This program receives all claims on behalf of the City, attests to the City's contracts, publishes official notices, and maintains and creates electronic records of all legislation, commendatory resolutions, results of City Council votes, and documents and reports filed in the City Council. Documents are available to the public through the Council File Management System."
"program_name","Administration of City Elections","This program assists the Los Angeles County Registrar-Recorder in the conduct of the city's municipal elections, jointly conducts the Neighborhood Council board member elections with the Department of Neighborhood Empowerment, and is responsible for administering special municipal elections as specified by the Los Angeles City Charter, City Election Code, and state and federal law."
"program_name","Records Management","This program provides for maintenance, analysis, and custody of City records stored in the Records Center; destruction of records in accordance with established departmental schedules; and archival preservation, archival storage, and archival reference."
"program_name","Special Assessments","This program provides for the management of the Business Improvement District (BID) Program and the BID Trust Fund."
"program_name","Mayor and City Council Administrative Support","This program prepares and certifies all payrolls and demands upon the Mayor and Council funds, expends the funds of the Mayor and Council in accordance with their respective budget appropriations, and prepares and submits detailed estimates of money required for the next fiscal year for the proper conduct of the Office of the Mayor and City Council. This program will also oversee the Neighborhood Council (NC) Funding Program by processing payments and auditing expenditures of the NCs to ensure that public funds are spent in a responsible and fiscally sound manner."
"program_name","Technology Support","This program provides Department information and strategic and tactical planning; applications development, implementation, and systems integration; technical support services; and specialized election systems development and support."
"program_name","General Administration and Support","This program provides for management and control of City Clerk programs and administrative support activities including budget control, personnel administration, and accounting for the City Clerk, Mayor, and the City Council."
"program_name","Governmental Ethics","This program shapes, administers, and enforces laws regarding governmental ethics, conflicts of interests, campaign financing, and lobbying. For each program area, the Ethics Commission is required by law to process public disclosure filings, provide advice and trainings, conduct audits, maintain a whistleblower hotline, investigate and enforce against violations, and analyze and make policy recommendations regarding the laws. The Ethics Commission also administers a matching funds program, which provides limited public financing to qualified candidates for elected office."
"program_name","Adult Workforce Development","This program administers the City's Workforce Development system consisting of the City's WorkSource Centers, Rapid Response programs, and other career and employment training programs for adults, funded by the U.S. Department of Labor under the Workforce Innovation and Opportunity Act and other various grants. "
"program_name","Economic Development","This program promotes economic development projects and job creation by providing real property asset management, technical assistance through the City's Business Source System, and loans to small business owners for start-up ventures and business expansion."
"program_name","Youth Workforce Development","This program manages the City's YouthSource System, including the City's YouthSource Centers, Summer Youth Employment Program, Hire LA Program, and other youth re-engagement and career pathway programs. Funding is provided primarily by the U.S. Department of Labor under the Workforce Innovation and Opportunity Act, and various other federal and state grants."
"program_name","Technology Support","This program provides department-wide systems support for operations through maintenance of business systems used to collect and report performance data to comply with grant regulations, network administration and maintenance, and internal services and related support."
"program_name","General Administration and Support","This program provides department-wide administrative services, including executive management, fiscal management, accounting and audit services, and budget development and administration."
"program_name","Accounting and Disbursement of City Funds","This program is responsible for overseeing accounting within the City and ensuring that the Controller's mandated responsibility as Accountant of the City of Los Angeles is carried out. This program specifically includes accounting, payments, and disbursements of City funds and is divided into three sections - Demand Audit, Paymaster, and Funds and Appropriations."
