"Dept.Code","Department.Name","Program.Code","Program.Name","Fund.Code","Fund.Name","Account.Code","Account.Name","Fiscal.Year","Revenue.Amount"
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5104","Contribution Fr La Marathon","1.01E+12","2014_15_actuals",434622
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5188","Miscellaneous Revenue-Others","1.01E+12","2014_15_actuals",30301
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5319","Reimb Prop F Animal Bond Fund","1.01E+12","2014_15_actuals",4774
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5320","Reimb Prop F Fire Bond Fund","1.01E+12","2014_15_actuals",4774
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5321","Reimb Prop Q Police/Fire Fund","1.01E+12","2014_15_actuals",7587
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5322","Proposition K Funds","1.01E+12","2014_15_actuals",97000
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5328","Sewer Cons & Main Related Cost","1.01E+12","2014_15_actuals",427986
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5331","Reimb Of Related Cost-Pr Yr","1.01E+12","2014_15_actuals",226651
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5340","Prop C Antigridlock Rel Cost","1.01E+12","2014_15_actuals",11262
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1.01E+12","2014_15_actuals",49872
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5357","Citywide Recycling Rel Cost","1.01E+12","2014_15_actuals",33827
"10","City Administrative Officer","100","Budget Formulation and Control","General Fund","5361","Related Cost Reimb-Others","1.01E+12","2014_15_actuals",17263
"10","City Administrative Officer","100","Management Services","General Fund","4595","Service To Airports","1.01E+12","2014_15_actuals",453225
"10","City Administrative Officer","100","Management Services","General Fund","4596","Service To Water & Power","1.01E+12","2014_15_actuals",442326
