"Department.Code","Department.Name","Program.Code","Program.Name","Fund.Code","Source.Fund.Code","Source.Fund.Name","Account.Code","Account.Name","Budget","Positions"
"2","Aging","201","Senior Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",34
"2","Aging","201","Senior Services","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",2
"2","Aging","202","Family Caregiver Services","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"2","Aging","203","Older Workers Program","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",4
"6","Animal Services","601","Animal Control and Law Enforcement","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"6","Animal Services","601","Animal Control and Law Enforcement","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",117
"6","Animal Services","602","Shelter Operations and Animal Care","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",1
"6","Animal Services","602","Shelter Operations and Animal Care","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",144
"6","Animal Services","603","License Processing","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",8
"6","Animal Services","604","Permitting Operations","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",5
"6","Animal Services","607","Animal Medical Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",35
"6","Animal Services","649","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",5
"6","Animal Services","650","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",23
"8","Building and Safety","801","Residential Engineering Plan Checking","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",19
"8","Building and Safety","801","Residential Engineering Plan Checking","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",10
"8","Building and Safety","801","Residential Engineering Plan Checking","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",212
"8","Building and Safety","801","Residential Engineering Plan Checking","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",10
"8","Building and Safety","802","New Commercial Construction Inspection","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",7
"8","Building and Safety","802","New Commercial Construction Inspection","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",250
"8","Building and Safety","802","New Commercial Construction Inspection","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",17
"8","Building and Safety","803","Licensing, Testing, and Material Control","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",13
"8","Building and Safety","804","Conservation of Existing Structures and Mechanical Devices","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",1
"8","Building and Safety","804","Conservation of Existing Structures and Mechanical Devices","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",137
"8","Building and Safety","804","Conservation of Existing Structures and Mechanical Devices","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",3
"8","Building and Safety","849","Technology Support","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",2
"8","Building and Safety","849","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",28
"8","Building and Safety","850","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",85
"10","City Administrative Officer","1001","Budget Formulation and Control","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",15
"10","City Administrative Officer","1001","Budget Formulation and Control","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",46
"10","City Administrative Officer","1001","Budget Formulation and Control","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",2
"10","City Administrative Officer","1002","Management Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",29
"10","City Administrative Officer","1003","Employee Relations Compensation and Benefits","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",9
"10","City Administrative Officer","1004","Risk Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",12
"10","City Administrative Officer","1050","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",14
"12","City Attorney","1201","Criminal and Special Litigation","100","100","General Fund","POSGR","Grant Reimbursed Regular Authority Positions","2011-12 Adopted Budget",22
"12","City Attorney","1201","Criminal and Special Litigation","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",365
"12","City Attorney","1201","Criminal and Special Litigation","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",33
"12","City Attorney","1202","Civil Liability Management","100","100","General Fund","POSPROP","Proprietary Reimbursed Regular Authority Positions","2011-12 Adopted Budget",-1
"12","City Attorney","1202","Civil Liability Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",154
"12","City Attorney","1202","Civil Liability Management","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",35
"12","City Attorney","1203","Municipal Law","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",111
"12","City Attorney","1203","Municipal Law","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",5
"12","City Attorney","1204","Proprietary and Outside Counsel","100","100","General Fund","POSPROP","Proprietary Reimbursed Regular Authority Positions","2011-12 Adopted Budget",79
"12","City Attorney","1204","Proprietary and Outside Counsel","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",-1
"12","City Attorney","1250","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",47
"14","City Clerk","1401","Council and Public Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",31
"14","City Clerk","1402","Administration of City Elections","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",30
"14","City Clerk","1405","Records Management","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",1
"14","City Clerk","1405","Records Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",3
"14","City Clerk","1406","Special Assessments","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",14
"14","City Clerk","1407","Mayor and City Council Administrative Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",10
"14","City Clerk","1449","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",4
"14","City Clerk","1450","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",8
"17","Ethics Commission","1701","Governmental Ethics","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"17","Ethics Commission","1701","Governmental Ethics","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",19
"22","Economic and Workforce Development","2201","Grants Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",40
"22","Economic and Workforce Development","2202","Adult Workforce Development","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",34
"22","Economic and Workforce Development","2202","Adult Workforce Development","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",63
"22","Economic and Workforce Development","2203","Family Services","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",33
