Department Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Source Fund Code,Source Fund Name,Budget Request Description,Budget Request Category,Budget Object Code,Audit Budget Object Name,One Time/ On-going,2021-22 (Proposed) Incremental change from 2020-21 Adopted Budget,2021-22 (Adopted) Incremental change from 2020-21 Adopted Budget
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-431677,-431677
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,66412,66412
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Adjustments to Library Facilities Costs,10-Other Changes or Adjustments,009510,Various Special - Library,BB,974648,974648
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Branch Library Alterations and Improvements,4-Increased Services,003040,Contractual Services,BB,504232,504232
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,003040,Contractual Services,BB,-1974909,-1974909
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Deletion of One-Time Special Funding,2-Deletion of One-Time Services,009510,Various Special - Library,BB,-210000,-210000
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Equipment Repair and Replacement,4-Increased Services,003040,Contractual Services,01,2380000,2380000
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Funding Realignment for New Americans Initiative,10-Other Changes or Adjustments,003040,Contractual Services,BB,-340000,-340000
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,General Fund Reimbursement,10-Other Changes or Adjustments,009510,Various Special - Library,BB,1477422,1477422
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,Reimbursements for Sidewalk Repairs,10-Other Changes or Adjustments,009510,Various Special - Library,01,3639477,3639477
44,Library,4401,Branch Library Services,300,Library Other Revenue,300,Library Other Revenue,"Salaries, As-Needed Account",4-Increased Services,001070,"Salaries, As-Needed",BB,66078,66078
