Dept Code,Dept Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Prog Name,Fund Code,Fund Name,Source Fund Code,Source Fund Name,Account Code,Account Name,2019-20 Actuals,2020-21 Adopted Budget,2020-21 Estimates,2021-22 Proposed Budget,2021-22 Adopted
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,001010,Salaries General,298824,798043,798000,745685,758985
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,001070,"Salaries, As-Needed",132711,,114000,,
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,001090,Overtime General,10817,3900,39000,3900,3900
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,002120,Printing and Binding,11192,263,,263,263
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,002130,Travel,5762,7050,3000,7050,7050
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,003040,Contractual Services,5066060,1751134,42914000,2201134,2201134
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,003310,Transportation,5750,7693,6000,7693,7693
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,100,General Fund,006010,Office and Administrative ,84296,32589,42000,41899,41899
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),001010,Salaries General,415960,335620,416000,366082,407190
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),002120,Printing and Binding,,2525,,2525,2525
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),002130,Travel,,1400,,1400,1400
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),003040,Contractual Services,,6673,,6673,6673
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),003310,Transportation,,25,,25,25
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),006010,Office and Administrative ,,4679,,4679,4679
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),001010,Salaries General,1818833,1452334,2220000,1124920,1261650
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,410,Other Programs for the Aging (Sch. 21),001070,"Salaries, As-Needed",,178393,,178393,178393
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),001010,Salaries General,280839,251793,220000,189151,176745
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),001070,"Salaries, As-Needed",,44038,,44038,44038
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),002120,Printing and Binding,,2000,,2000,2000
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),003040,Contractual Services,,5575,,5575,5575
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),006010,Office and Administrative ,,8200,,8200,8200
