Dept Code,Dept Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Prog Name,Fund Code,Fund Name,Account Code,Account Name,2019-20 Actuals,2020-21 Adopted Budget,2020-21 Estimates,2021-22 Proposed Budget,2021-22 Adopted
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,5169,JURY DUTY REIMBURSEMENT,0,,0,,0
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,660,0,,0
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,35978,31262,35798,35798
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,5337,PROP A LOCAL TRANSIT REL COST,0,293101,293100,238576,258924
02,Aging,02LVL5,Aging,0299,Aging - Default Program,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,,0,,0
02,Aging,02LVL5,Aging,0299,Aging - Default Program,100,General Fund,5301,REIMB FROM OTHER FUNDS,0,,0,,0
02,Aging,02LVL5,Aging,0299,Aging - Default Program,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,,0,,0
02,Aging,02LVL5,Aging,0299,Aging - Default Program,100,General Fund,5337,PROP A LOCAL TRANSIT REL COST,0,,0,,0
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,3201,DOG LICENSES,0,549263,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,3205,DOG LICENSE PENALTY FEE,0,45000,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,3207,CAT IDENTIFICATION FEES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,3208,BREEDER'S LICENSE FEE,0,100000,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,3282,FILMING PERMITS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,4172,ANIMAL PICK-UP FEES,0,5000,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,4173,ANIMAL IMPOUNDMENT FEES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,4183,ANIMAL REGULATION PERMITS,0,194000,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,4184,MISCELLANEOUS-ANIMAL REG,0,175000,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,4815,FINES AND PENALTIES-OTHERS,0,21000,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,494357,0,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,3201,DOG LICENSES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,4173,ANIMAL IMPOUNDMENT FEES,0,2000,0,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,4175,TRAP RENTAL FEES,0,3800,0,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,4177,CAT POUND FEES,0,10000,0,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,4178,DOG POUND FEES,0,675000,0,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,4180,OTHER ANIMAL POUND FEES,0,32500,0,,
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,4179,VETERINARY MEDICAL FEES,0,39000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3201,DOG LICENSES,0,1600000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3202,DUPLICATE TAGS,0,8000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3204,SENTRY DOG TRAINERS LICENSES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3205,DOG LICENSE PENALTY FEE,0,55000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3206,EQUINE LICENSES,0,500,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3208,BREEDER'S LICENSE FEE,0,200000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3209,COMM & IND GUARD DOG LICENSES,0,6000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,3282,FILMING PERMITS,0,430000,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,4172,ANIMAL PICK-UP FEES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,4173,ANIMAL IMPOUNDMENT FEES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,4175,TRAP RENTAL FEES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,4180,OTHER ANIMAL POUND FEES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,3201,DOG LICENSES,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,4183,ANIMAL REGULATION PERMITS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,4184,MISCELLANEOUS-ANIMAL REG,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,4321,GEOGRAPHIC INFORMATION SYSTEMS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,4332,BAD CHECK COLLECTION FEES,0,600,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,4815,FINES AND PENALTIES-OTHERS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,,0,,
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3201,DOG LICENSES,1682400,,1257164,1890000,1890000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3202,DUPLICATE TAGS,5540,,1808,7000,7000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3203,SENTRY DOG LICENSES,25,,0,,
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3205,DOG LICENSE PENALTY FEE,55310,,29487,75000,75000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3206,EQUINE LICENSES,314,,414,420,420
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3207,CAT IDENTIFICATION FEES,50,,0,,
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3208,BREEDER'S LICENSE FEE,269195,,317588,360000,360000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3209,COMM & IND GUARD DOG LICENSES,4300,,600,5100,5100
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,3282,FILMING PERMITS,279480,,220170,324000,324000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4172,ANIMAL PICK-UP FEES,2909,,2544,3600,3600
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4175,TRAP RENTAL FEES,330,,0,,
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4177,CAT POUND FEES,20412,,3954,6000,6000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4178,DOG POUND FEES,500000,,249270,540000,540000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4179,VETERINARY MEDICAL FEES,22000,,11448,30000,30000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4180,OTHER ANIMAL POUND FEES,23298,,13186,30000,30000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4183,ANIMAL REGULATION PERMITS,125000,,138971,174000,174000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4184,MISCELLANEOUS-ANIMAL REG,111000,,104664,138000,138000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4332,BAD CHECK COLLECTION FEES,430,,420,600,600
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,4815,FINES AND PENALTIES-OTHERS,15000,,13650,18000,18000
06,Animal Services,06LVL5,Animal Services,0699,Animal Services - Default Program,100,General Fund,5361,RELATED COST REIMB-OTHERS,569428,,375000,400000,400000
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,478902,0,,0
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,11290637,0,,0
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,217102,0,,0
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,5628232,0,,0
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,117065,0,,0
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,3464549,0,,0
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,255414,0,,0
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,6456877,0,,0
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,4216,ELEVATOR INSPECTION RECEIPTS,0,,2692,,
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,4217,BOILER & PRESSURE VESSEL RCPTS,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,570207,0,,0
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,13546389,0,,0
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,105339,0,,0
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,91523,0,2363286,2363286
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,2912120,52966283,51124888,51124888
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4222,SPECIAL ENFORCEMENT FEES,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4223,INVESTIGATION FEES,0,1700000,1121999,1023455,1023455
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4224,NON-COMPLIANCE FEE,0,1700000,402011,910370,910370
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4225,MISCELLANEOUS ADM SERVICES,0,60000,8153,35908,35908
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4226,OVER-UNDER DEPOSITS,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4350,SUBPOENA FEES,0,40000,40237,21772,21772
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4675,CODE VIOLATION INSPECTION FEE.,0,2600000,641858,1308617,1308617
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,4813,REPEAT VIOLATION FEE,0,3000,200,3000,3000
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,5169,JURY DUTY REIMBURSEMENT,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,8514,0,,0
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,1761225,0,,0
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,187112,0,,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,3284,LOCAL ENFORCEMENT AGENCY FEES,0,1300000,832000,1028852,1028852
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,4002,ANNUAL INSPECTION MONITRNG FEE,0,80000,2795,34175,34175
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,55340,417069,,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5334,COMMUNITY DEV TR RELATED COST,0,1438389,1273161,888030,888030
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,1853297,0,,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,410951,253484,255490,255490
08,Building and Safety,08LVL5,Building and Safety,0848,Development Services Systems,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,240515,0,,0
08,Building and Safety,08LVL5,Building and Safety,0848,Development Services Systems,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,1115180,0,,0
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,38312,0,,0
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,2129512,0,,0
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,4242,BOARD APPLICATION FEE,,,,32,32
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,4542,REIMB SALARIES & WAGES,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,,14053,,
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,42569,0,,0
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,6134626,0,,0
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,1891,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,3180,1911 ACT ASSESSMENTS,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,3284,LOCAL ENFORCEMENT AGENCY FEES,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4002,ANNUAL INSPECTION MONITRNG FEE,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4217,BOILER & PRESSURE VESSEL RCPTS,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4223,INVESTIGATION FEES,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4224,NON-COMPLIANCE FEE,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4225,MISCELLANEOUS ADM SERVICES,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4350,SUBPOENA FEES,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4675,CODE VIOLATION INSPECTION FEE.,0,,0,,0
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4813,REPEAT VIOLATION FEE,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,4814,REVOCATION FEE,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,,0,,
08,Building and Safety,08LVL5,Building and Safety,0899,Building and Safety - Default Program,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5104,CONTRIBUTION FR LA MARATHON,0,507029,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5328,SEWER CONS & MAIN RELATED COST,0,163821,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5329,RENT CONTROL RELATED COST,0,44868,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5340,PROP C ANTIGRIDLOCK REL COST,0,70603,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5341,HOME INVEST PRTNRSHIP REL COST,0,20210,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5345,SANIT EQUIP CHG ACQ FD REL COST,0,71036,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5351,CODE ENFORCEMENT REL COST,0,122967,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5357,CITYWIDE RECYCLING REL COST,0,43930,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,79430,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,71605,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,147506,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5329,RENT CONTROL RELATED COST,0,3929,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5341,HOME INVEST PRTNRSHIP REL COST,0,1759,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5351,CODE ENFORCEMENT REL COST,0,10750,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,0,119422,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,33751,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,General Fund,5363,RELATED COST - ARRA,0,,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1004,Risk Management,100,General Fund,5328,SEWER CONS & MAIN RELATED COST,0,335538,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1006,Debt Management,100,General Fund,4651,MISCELLANEOUS SERVICE CHARGES,0,20000,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1006,Debt Management,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,0,20000,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1006,Debt Management,100,General Fund,5328,SEWER CONS & MAIN RELATED COST,0,155607,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5301,REIMB FROM OTHER FUNDS,0,183168,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5322,PROPOSITION K FUNDS,0,134425,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,137064,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,4595,SERVICE TO AIRPORTS,0,474253,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,4596,SERVICE TO WATER & POWER,0,508103,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,4597,SERVICE TO HARBOR,0,413800,0,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,4595,SERVICE TO AIRPORTS,496657,,426507,454154,454154
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,4596,SERVICE TO WATER & POWER,262483,,53954,380613,380613
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,4597,SERVICE TO HARBOR,340154,,333138,336389,336389
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,4651,MISCELLANEOUS SERVICE CHARGES,8333,,50000,,0
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5104,CONTRIBUTION FR LA MARATHON,502132,,0,1033759,1033759
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5188,MISCELLANEOUS REVENUE-OTHERS,2692122,,167506,100000,100000
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5301,REIMB FROM OTHER FUNDS,,,,,0
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5322,PROPOSITION K FUNDS,134425,,134425,78000,78000
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5328,SEWER CONS & MAIN RELATED COST,664884,,654966,707903,707903
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5329,RENT CONTROL RELATED COST,46145,,48797,71614,71614
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,,21873,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5334,COMMUNITY DEV TR RELATED COST,,,,94379,94379
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5340,PROP C ANTIGRIDLOCK REL COST,31303,,70603,36639,36639
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5341,HOME INVEST PRTNRSHIP REL COST,18226,,21969,,0
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5345,SANIT EQUIP CHG ACQ FD REL COST,70536,,71036,77671,80350
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5351,CODE ENFORCEMENT REL COST,126452,,0,,201017
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5357,CITYWIDE RECYCLING REL COST,45485,,43930,47387,47387
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5359,BLDG & SAFETY ENT FND REL COST,192973,,198852,217011,217011
10,City Administrative Officer,10LVL5,City Administrative Officer,1099,City Administrative Officer - Default Program,100,General Fund,5361,RELATED COST REIMB-OTHERS,189267,,242420,315509,315509
11,Public Accountability,11LVL5,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,General Fund,4596,SERVICE TO WATER & POWER,0,5588752,2975832,6169729,6169729
11,Public Accountability,11LVL5,Public Accountability,1199,Public Accountability - Default Program,100,General Fund,4596,SERVICE TO WATER & POWER,0,,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,3291,TOBACCO RETAILER PERMITS,0,1928481,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,4815,FINES AND PENALTIES-OTHERS,0,1000,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,4831,FORFEITURES & PENALTIES,0,25000,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5301,REIMB FROM OTHER FUNDS,0,276201,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5331,REIMB OF RELATED COST-PR YR,0,200000,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5334,COMMUNITY DEV TR RELATED COST,0,,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5346,RELATED COST REIMB FR GRANTS,0,1972875,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5361,RELATED COST REIMB-OTHERS,0,1251032,0,,0
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5427,REIMB FROM GRANTS,0,1115979,0,,0
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,General Fund,4651,MISCELLANEOUS SERVICE CHARGES,0,25000,0,,0
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,General Fund,5121,DAMAGE CLAIMS & SETTLEMENTS,0,350000,0,,0
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,General Fund,5122,ATTORNEY FEES,0,350000,0,,0
