Dept Code,Department Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Program Name,PM Code,Performance Measure Name,Unit/Value,2017-18 Actuals,2018-19 Actuals,2019-20 Actuals,2020-21 Adopted Budget,2020-21 Estimates,2021-22 Adopted
02,Aging,02LVL5,Aging,0201,Senior Services,02MEALS,Number of Home Delivered and Congregate Meals Provided,,1388026,1331659,1583005,1341733,1583005,1341733
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,02CONTACTS,Number of Contacts Regarding Caregiver Needs,,,4365,149727,4129,149727,4129
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,02FAMILYCLIENTS,Number of Clients in the Family Caregiver Program,,,184,282,108,282,108
02,Aging,02LVL5,Aging,0203,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,,106,90,48,90,90,90
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Issued,,120667,124472,106515,137230,116884,120000
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate ,percentage,88,90,91,90,90,91
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,06MEDICALLYTREATED,Number of Animals Medically Treated In-House,,47307,48868,41752,64758,60000,60000
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,06VOLUNTEER,Number of Volunteer Hours,,74283,102160,83226,137637,16680,59512
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,,81,77,76,85,75,80
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,,91,90,87,91,90,90
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,08GRADEREPORT20,Percent of New Grading Reports Completed in 20 Days,,100,100,97,100,99,100
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,,80,78,98,98,98,98
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,08COMMINSPECT,Commercial Building Inspections Completed in 24 Hours,percentage,99,97,98,97,98,98
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,08CASEMGMT,Percent of Case Management Projects Contacted in 5 Days,,100,100,100,100,100,100
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,,65,65,67,65,60,65
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,,100,100,100,100,100,100
