Dept Code,Dept Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Prog Name,Fund Code,Source Fund Code,Source Fund Name,Account Code,Account Name,2020-21 Adopted Budget,2021-22 Proposed Budget,2021-22 Adopted
02,Aging,02LVL5,Aging,0201,Senior Services,100,100,General Fund,POSAN,As Needed Positions,6,6,6
02,Aging,02LVL5,Aging,0201,Senior Services,100,100,General Fund,POSSG,Civilian Regular Authority Positions,6.3,5.98,5.98
02,Aging,02LVL5,Aging,0201,Senior Services,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,2,2,2
02,Aging,02LVL5,Aging,0201,Senior Services,100,385,Proposition A Local Transit Assistance Fund (Sch. 26),POSSG,Civilian Regular Authority Positions,5.12,5.12,5.12
02,Aging,02LVL5,Aging,0201,Senior Services,100,385,Proposition A Local Transit Assistance Fund (Sch. 26),RESSG,Civilian Resolution Authority Positions,,,0.46
02,Aging,02LVL5,Aging,0201,Senior Services,100,395,Area Plan for the Aging Title 7 Fund (Sch. 21),POSSG,Civilian Regular Authority Positions,17.1,15.42,15.42
02,Aging,02LVL5,Aging,0201,Senior Services,100,395,Area Plan for the Aging Title 7 Fund (Sch. 21),RESSG,Civilian Resolution Authority Positions,,,1.53
02,Aging,02LVL5,Aging,0201,Senior Services,100,424,Community Development Trust Fund (Sch. 8),POSSG,Civilian Regular Authority Positions,3.48,2.48,2.48
02,Aging,02LVL5,Aging,0201,Senior Services,100,424,Community Development Trust Fund (Sch. 8),RESSG,Civilian Resolution Authority Positions,,,0.01
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,100,General Fund,POSAN,As Needed Positions,1,1,1
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,100,General Fund,POSSG,Civilian Regular Authority Positions,0.23,0.23,0.23
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,,,0
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,395,Area Plan for the Aging Title 7 Fund (Sch. 21),POSSG,Civilian Regular Authority Positions,7.77,6.77,6.77
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,395,Area Plan for the Aging Title 7 Fund (Sch. 21),RESSG,Civilian Resolution Authority Positions,,,1
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,4,4,4
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,395,Area Plan for the Aging Title 7 Fund (Sch. 21),POSSG,Civilian Regular Authority Positions,0.29,0.29,0.29
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,410,Other Programs for the Aging (Sch. 21),POSSG,Civilian Regular Authority Positions,3.71,3.71,3.71
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,100,General Fund,POSAN,As Needed Positions,6,6,6
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,100,General Fund,POSCOMM,Commissioner Positions,5,5,5
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,100,General Fund,POSSG,Civilian Regular Authority Positions,83,78,78
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,8,6,6
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,55R,Code Compliance Fund (Sch. 53),RESSG,Civilian Resolution Authority Positions,2,2,2
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,100,General Fund,POSAN,As Needed Positions,1,1,1
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,100,General Fund,POSSG,Civilian Regular Authority Positions,167,167,167
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,6,,6
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,100,General Fund,POSSG,Civilian Regular Authority Positions,31,33,33
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,6,,4
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,100,General Fund,POSSG,Civilian Regular Authority Positions,38,33,33
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,1,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,100,General Fund,POSSG,Civilian Regular Authority Positions,23.1,21.1,21.1
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,2,1,1
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,842,Animal Sterilization Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2.9,2.9,2.9
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,100,General Fund,POSAN,As Needed Positions,20,20,20
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,100,General Fund,POSCOMM,Commissioner Positions,10,10,10
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,176,176,176
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,40,40,40
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,100,General Fund,POSAN,As Needed Positions,1,1,1
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,84,84,84
