Schedule Number,Schedule Name,Budget Request Documentation Section Content
S01,Los Angeles Convention and Visitors Bureau Trust Fund,"Receipts from a transient occupancy tax of one percent shall be placed in the Los Angeles Convention and Visitors Bureau Trust Fund in accordance with Section 5.315 of the Los Angeles Administrative Code.  Expenditures shall be made solely to finance the promotion and advertising of the City for the purpose of attracting conventions, trade shows, and tourism to the City.  The Los Angeles Convention and Visitors Bureau shall have the exclusive right to expend funds appropriated to the Fund pursuant to written contract with the City.      
"
S02,Solid Waste Resources Revenue Fund,"The Solid Waste Collection, Transfer, Recycling, Recovery of Waste Resources and Disposal Fee (formerly Sanitation Equipment Charge) is imposed on all single family dwellings in the City and upon multiple unit dwellings for which the City provides refuse collection services.  All receipts from the Fee are deposited in the Solid Waste Resources Revenue Fund.  Funds are used for all costs of the City's solid waste collection, recycling, and disposal activities including, but not limited to: salaries; direct and indirect overhead costs; principal and interest payments; lease payments; landfill costs, including disposal, resource recovery facilities or refuse to energy and fuel facilities and closure of City owned landfill facilities; the development, acquisition, construction, operation and maintenance of equipment, alternative fuel infrastructure, recycling, green waste processing, transfer facilities, or resource recovery facilities used in the collection, recycling, or recovery of solid waste resources; and storage of solid waste related equipment."
S03,Forfeited Assets Trust Fund of the Police Department,"Section 5.520 of the Los Angeles Administrative Code establishes the Forfeited Assets Trust Fund of the Police Department. This Fund receives monies forfeited in connection with various Federal and State violations and awarded to the City pursuant to Title 21 United States Code Section 881, California Health and Safety Code Section 11489, or any other Federal or State statute relating to forfeited assets. All monies received from the State and Federal Governments under those statutes are deposited in separate accounts within this Fund. A Supplemental Police Account is established within the Fund in an amount not to exceed $1.5 million to be administered by the Chief of Police in accordance with an expenditure plan approved by the Mayor and City Council. A 15 percent set-aside of annual State receipts is reserved for gang reduction expenditures. Both State and Federal laws require that these forfeited assets be used to enhance law enforcement resources and not to supplant resources which would have been committed to this purpose in their absence."
S04,Traffic Safety Fund,"The City's share of fines and forfeitures collected under Section 42200 et. al from any person charged with a misdemeanor or an infraction under the Vehicle Code of the State of California is used for traffic signs, signals, and other traffic control and safety devices; traffic law enforcement and accident prevention; and for the maintenance, improvement or construction of public streets, bridges and culverts within the City."
S05,Special Gas Tax Improvement Fund,"The Special Gas Tax Street Improvement Fund receives monies from the State's Excise Tax on the sale of gasoline and from federal reimbursements through the Surface Transportation Program - Local.  These monies provide funding to various departments and to the CIEP - Physical Plant for eligible activities and projects. Funding is apportioned through various formulas in accordance with Sections 2103, 2105, 2106, and 2107 of the Streets and Highways Code and through annual federal legislation relative to the Surface Transportation Program."
S06,Housing Department Affordable Housing Trust Fund,"The Housing Department Affordable Housing Trust Fund provides for the utilization of monies dedicated to the purpose of providing affordable, accessible, safe, secure and decent housing. Receipts are used for the purpose of acquiring, developing, constructing and rehabilitation."
S07,Stormwater Pollution Abatement Fund,"The Environmental Protection Agency establishes regulations setting forth requirements for stormwater discharges from large municipal storm drains.  The City enacted a Stormwater Pollution Abatement Charge (Article 4.2 of Chapter 6 of the Los Angeles Municipal Code) on all properties in the City in order to treat and abate stormwater.  The charge is based on stormwater runoff and pollutant loading associated with property size and land use.
"
S08,Community Development Trust Fund,"The primary objective of the Community Development Block Grant (CDBG) Program is to promote viable urban communities through decent housing, expanded economic development opportunities and comprehensive social services to persons of low and moderate incomes.

The City of Los Angeles receives CDBG funds based on the ratio of population, poverty, and housing overcrowding in the City compared to the ratio within all U.S. metropolitan areas.  Funds are allocated by the U.S. Department of Housing and Urban Development to specific programs or purposes, based on approved applications, and remitted to the City by a letter-of-credit arrangement.

The 2021-22 Budget reflects the receipt and use of funds for salaries, expenses, and related costs attributable to departmental budgets. The Mayor and Council are considering appropriations for additional projects and programs funded by CDBG funds as detailed in the 47th Program Year (PY) Consolidated Plan, which is authorized from July 1, 2021 through June 30, 2022 (C.F. 20-1433). Funding amounts are based on estimates and are subject to change pending receipt of actual entitlement award from the U.S. Department of Housing and Urban Development.  
"
S09,HOME Investment Partnerships Program Fund,"The primary objective of HOME Investment Partnerships Program (HOME) is to expand the supply of decent, safe, sanitary and affordable housing, with the primary focus on rental housing.

The 2021-22 Budget reflects the receipt and appropriations of funds for the departmental budget. The Mayor and Council are considering appropriations for other programs funded with HOME funds as detailed in the 47th Program Year (PY) Consolidated Plan, which is authorized from July 1, 2021 through June 30, 2022 (C.F. 20-1433). Funding amounts are based on estimates and are subject to change pending receipt of actual entitlement award from the U.S. Department of Housing and Urban Development."
S10,Mobile Source Air Pollution Reduction Trust Fund,"Chapter 7 to Part 5 of Division 26 of the Health and Safety Code provide for a distribution of funds to cities from a fee imposed on motor vehicle registration in order to implement the California Clean Air Act of 1988.  A $6 per vehicle fee is imposed on vehicles in the South Coast Air Quality Management District.  Twenty-seven percent of revenues are allocated to cities based on population.  Funds are to be used for programs to reduce air pollution from motor vehicles.

Section 5.345 of the Los Angeles Administrative Code established the Mobile Source Air Pollution Reduction Trust Fund to receive fee revenues to implement mobile source air pollution reduction programs.      
"
