"Prog_Code","Program_Name","Program_Priority"
"0201","Senior Services","A Livable and Sustainable City"
"0202","Family Caregiver Services","A Livable and Sustainable City"
"0203","Older Workers Program","A Prosperous City"
"0601","Animal Control and Law Enforcement","A Safe City"
"0602","Shelter Operations and Animal Care","A Livable and Sustainable City"
"0603","License Processing",""
"0607","Animal Medical Services","A Livable and Sustainable City"
"0609","Community Engagement and Partnerships","A Well Run City"
"0649","Technology Support",""
"0650","General Administration and Support",""
"0801","Residential Engineering Plan Checking",""
"0802","New Commercial Construction Inspection",""
"0804","Conservation of Existing Structures and Mechanical Devices",""
"0811","Structural Plan Checking","A Prosperous City"
"0812","Green Buildings and Electrical and Mechanical Engineering","A Prosperous City"
"0813","Grading Reports and Inspection","A Prosperous City"
"0814","Residential Inspection","A Prosperous City"
"0815","Commercial Inspection and Licensing","A Prosperous City"
"0816","Development Services Case Management","A Prosperous City"
"0817","Residential and Commercial Code Enforcement","A Livable and Sustainable City"
"0818","Conservation of Existing Structures and Mechanical Devices","A Livable and Sustainable City"
"0848","Development Services Systems","A Prosperous City"
"0849","Technology Support",""
"0850","General Administration and Support",""
"1001","Budget Formulation and Control","A Well Run City"
"1002","Management Services","A Well Run City"
"1003","Employee Relations Compensation and Benefits","A Well Run City"
"1004","Risk Management","A Well Run City"
"1006","Debt Management","A Well Run City"
"1007","Asset Management and Capital Projects","A Well Run City"
"1008","Proprietary Analysis","A Well Run City"
"1050","General Administration and Support",""
"1101","Public Accountability and Ratepayer Advocate","A Well Run City"
"1201","Criminal and Special Litigation","A Safe City"
"1202","Civil Liability Management","A Well Run City"
"1203","Municipal Law","A Well Run City"
"1204","Proprietary and Outside Counsel","A Well Run City"
"1250","General Administration and Support",""
"1301","Regulations and Licensing","A Livable and Sustainable City"
"1401","Council and Public Services","A Well Run City"
"1402","Administration of City Elections","A Well Run City"
"1405","Records Management","A Well Run City"
"1406","Special Assessments","A Well Run City"
"1407","Mayor and City Council Administrative Support","A Well Run City"
"1449","Technology Support",""
"1450","General Administration and Support",""
"1701","Governmental Ethics","A Well Run City"
"2202","Adult Workforce Development","A Prosperous City"
"2205","Economic Development","A Prosperous City"
"2207","Youth Workforce Development","A Prosperous City"
"2249","Technology Support",""
"2250","General Administration and Support",""
"2601","Accounting and Disbursement of City Funds","A Well Run City"
"2602","Financial Reporting of City and Grant Funds","A Well Run City"
"2603","Audits of City Departments and Programs","A Well Run City"
"2604","Support of the City's Financial Systems","A Well Run City"
"2605","Citywide Payroll Administration","A Well Run City"
"2650","General Administration and Support",""
"2801","Legislation and Policy Determination",""
"3001","Community Arts","A Livable and Sustainable City"
"3002","Marketing and Development","A Livable and Sustainable City"
"3003","Public Art","A Livable and Sustainable City"
"3004","Grants Program","A Livable and Sustainable City"
"3050","General Administration and Support",""
"3201","Public Safety Systems Development and Support","A Safe City"
"3202","Public Safety Communications","A Safe City"
"3203","Customer Engagement","A Well Run City"
"3206","Office Systems Support","A Well Run City"
"3207","Systems Development and Support","A Well Run City"
"3208","Enterprise and Distributed Systems and Operation","A Well Run City"
"3209","Network Engineering and Operations","A Well Run City"
"3210","Data Engineering and Operations","A Well Run City"
"3211","Business Applications and Web Services","A Well Run City"
"3250","General Administration and Support",""
"3301","History and Museums","A Livable and Sustainable City"
"3302","Marketing and Events","A Livable and Sustainable City"
"3348","Property Management","A Livable and Sustainable City"
"3350","General Administration and Support",""
"3501","Emergency Management","A Safe City"
"3601","Employee Relations","A Well Run City"
"3801","Arson Investigation and Counter-Terrorism","A Safe City"
"3803","Fire Suppression","A Safe City"
"3804","Metropolitan Fire Communications","A Safe City"
"3805","Hazardous Materials Enforcement","A Safe City"
"3806","Fire Prevention","A Safe City"
"3808","Emergency Medical Service","A Safe City"
"3847","Training","A Safe City"
"3848","Procurement, Maintenance and Repair","A Safe City"
"3849","Technology Support",""
"3850","General Administration and Support",""
"3901","Revenue Management","A Well Run City"
"3902","Treasury Services","A Well Run City"
"3905","LATAX System Support","A Well Run City"
"3906","Customer Support","A Well Run City"
"3908","Investment","A Well Run City"
"3909","Tax and Permit","A Well Run City"
"3950","General Administration and Support",""
"4001","Custodial Services","A Well Run City"
"4002","Building Maintenance","A Well Run City"
"4003","Construction Forces","A Well Run City"
"4004","Real Estate Services","A Well Run City"
"4005","Parking Services","A Well Run City"
"4007","Emergency Management and Special Services","A Safe City"
"4008","Fleet Services","A Well Run City"
"4009","Fuel and Environmental Compliance","A Well Run City"
"4010","Standards and Testing Services","A Livable and Sustainable City"
"4011","Supply Management","A Well Run City"
"4012","Mail Services","A Well Run City"
"4050","General Administration and Support",""
"4301","Development and Finance","A Livable and Sustainable City"
"4302","Asset Management","A Livable and Sustainable City"
"4304","Consolidated Planning","A Livable and Sustainable City"
"4305","Rent Stabilization","A Livable and Sustainable City"
"4306","Multi-family Residential Code Enforcement","A Livable and Sustainable City"
"4307","Code and Rent Compliance","A Livable and Sustainable City"
"4310","Commissions and Community Engagement","A Livable and Sustainable City"
"4311","Program Operations","A Livable and Sustainable City"
"4312","Housing Strategies and Services","A Livable and Sustainable City"
"4313","Accessible Housing Program",""
"4349","Technology Support",""
"4350","General Administration and Support",""
"4401","Branch Library Services","A Well Run City"
"4402","Central Library Services","A Well Run City"
"4403","Engagement and Learning Services",""
"4449","Technology Support",""
"4450","General Administration and Support",""
"4601","Office of the Mayor",""
"4701","Neighborhood Council System Development","A Well Run City"
"4702","Neighborhood Council Funding Program","A Well Run City"
"4703","Planning and Policy","A Well Run City"
